datetime,power_target
2024-09-10 00:00:00,52
2024-09-10 00:15:00,55
2024-09-10 00:30:00,55
2024-09-10 00:45:00,53
2024-09-10 01:00:00,39
2024-09-10 01:15:00,34
2024-09-10 01:30:00,31
2024-09-10 01:45:00,23
2024-09-10 02:00:00,21
2024-09-10 02:15:00,25
2024-09-10 02:30:00,44
2024-09-10 02:45:00,46
2024-09-10 03:00:00,49
2024-09-10 03:15:00,48
2024-09-10 03:30:00,29
2024-09-10 03:45:00,28
2024-09-10 04:00:00,29
2024-09-10 04:15:00,54
2024-09-10 04:30:00,52
2024-09-10 04:45:00,55
2024-09-10 05:00:00,54
2024-09-10 05:15:00,43
2024-09-10 05:30:00,54
2024-09-10 05:45:00,62
2024-09-10 06:00:00,70
2024-09-10 06:15:00,60
2024-09-10 06:30:00,74
2024-09-10 06:45:00,60
2024-09-10 07:00:00,66
2024-09-10 07:15:00,88
2024-09-10 07:30:00,78
2024-09-10 07:45:00,73
2024-09-10 08:00:00,74
2024-09-10 08:15:00,69
2024-09-10 08:30:00,53
2024-09-10 08:45:00,54
2024-09-10 09:00:00,43
2024-09-10 09:15:00,48
2024-09-10 09:30:00,39
2024-09-10 09:45:00,54
2024-09-10 10:00:00,46
2024-09-10 10:15:00,43
2024-09-10 10:30:00,51
2024-09-10 10:45:00,39
2024-09-10 11:00:00,41
2024-09-10 11:15:00,54
2024-09-10 11:30:00,38
2024-09-10 11:45:00,40
2024-09-10 12:00:00,43
2024-09-10 12:15:00,51
2024-09-10 12:30:00,38
2024-09-10 12:45:00,25
2024-09-10 13:00:00,30
2024-09-10 13:15:00,33
2024-09-10 13:30:00,36
2024-09-10 13:45:00,39
2024-09-10 14:00:00,32
2024-09-10 14:15:00,35
2024-09-10 14:30:00,38
2024-09-10 14:45:00,30
2024-09-10 15:00:00,49
2024-09-10 15:15:00,54
2024-09-10 15:30:00,42
2024-09-10 15:45:00,48
2024-09-10 16:00:00,39
2024-09-10 16:15:00,47
2024-09-10 16:30:00,58
2024-09-10 16:45:00,50
2024-09-10 17:00:00,60
2024-09-10 17:15:00,64
2024-09-10 17:30:00,72
2024-09-10 17:45:00,91
2024-09-10 18:00:00,88
2024-09-10 18:15:00,81
2024-09-10 18:30:00,72
2024-09-10 18:45:00,64
2024-09-10 19:00:00,63
2024-09-10 19:15:00,67
2024-09-10 19:30:00,69
2024-09-10 19:45:00,78
2024-09-10 20:00:00,78
2024-09-10 20:15:00,92
2024-09-10 20:30:00,90
2024-09-10 20:45:00,100
2024-09-10 21:00:00,100
2024-09-10 21:15:00,100
2024-09-10 21:30:00,100
2024-09-10 21:45:00,100
2024-09-10 22:00:00,100
2024-09-10 22:15:00,100
2024-09-10 22:30:00,100
2024-09-10 22:45:00,100
2024-09-10 23:00:00,100
2024-09-10 23:15:00,94
2024-09-10 23:30:00,89
2024-09-10 23:45:00,98
